"The Sea Inside (Mar Adentro) (The Sea Within)","PG-13",92,84
"Never Say Never Again","PG",38,60
"Anything Else","R",45,40
"After the Dark","R",43,77
"Air America","R",35,13
"A Simple Wish","PG",41,25
"An American Carol","PG-13",46,11
"Antiviral","Unrated",40,65
"Friday the 13th, Part V - A New Beginning","R",27,16
"Anacondas: Trail of Blood","R",21,-1
"Crocodile Dundee in Los Angeles","PG",25,11
"Cowboy del Amor","G",48,70
"Amusement","R",27,-1
"Venus in Fur","Unrated",72,91
