"total","|","id","title","year","mpaa_rating","runtime","critics_consensus","release_dates__theater","release_dates__dvd","ratings__critics_rating","ratings__critics_score","ratings__audience_rating","ratings__audience_score","synopsis","posters__thumbnail","posters__profile","posters__detailed","posters__original","abridged_cast__name","abridged_cast__id","abridged_cast__characters-","alternate_ids__imdb","links__self","links__alternate","links__cast","links__reviews","links__similar","link_template","self","alternate"
"","","","","","","","","","","","","","","","","","","","Haluk Bilginer","770682709","Baba Akbar","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Shohreh Aghdashloo","326393525","Moloojoon","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Golshifteh Farahani","410146034","Maryam","","","","","","","","",""
"","","771380333","Force Majeure","2014","R","120","","2014-10-24","2015-02-10","Certified Fresh","93","Upright","77","A critical favorite and word-of-mouth sensation at this year's Cannes Festival, where it took the Jury Prize in Un Certain Regard, this wickedly funny and precisely observed psychodrama tells the story of a model Swedish family-handsome businessman Tomas, his willowy wife Ebba and their two blond, pre-teen children-on a skiing holiday in the French Alps. The sun is shining and the slopes are spectacular but, during lunch at a mountainside restaurant, an avalanche turns everything upside down. With panicked diners fleeing in all directions, Ebba calls out for her husband as she tries to protect their children. Tomas, however, makes a decision that will shake the family's world to its core. Although the anticipated disaster fails to occur, his marriage now hangs in the balance as he struggles to reclaim his role as family patriarch. (C) Magnolia Pictures","http://resizing.flixster.com/NTCdjf65zEmquPd3F9EbYiQ6NFc=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/04/11180443_ori.jpg","http://resizing.flixster.com/NTCdjf65zEmquPd3F9EbYiQ6NFc=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/04/11180443_ori.jpg","http://resizing.flixster.com/NTCdjf65zEmquPd3F9EbYiQ6NFc=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/04/11180443_ori.jpg","http://resizing.flixster.com/NTCdjf65zEmquPd3F9EbYiQ6NFc=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/04/11180443_ori.jpg","Kristofer Hivju","771384389","Mats","3630276","http://api.rottentomatoes.com/api/public/v1.0/movies/771380333.json","http://www.rottentomatoes.com/m/force_majeure_2014/","http://api.rottentomatoes.com/api/public/v1.0/movies/771380333/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771380333/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771380333/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Johannes Bah Kuhnke","771504096","Tomas","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Lisa Loven Kongsli","771491754","Ebba","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Clara Wettergren","771491756","Vera","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Vincent Wettergren","771491757","Harry","","","","","","","","",""
"","","771371920","Laggies","2014","R","100","","2014-10-24","2015-02-10","Fresh","69","Spilled","50","Overeducated and underemployed, 28 year old Megan (Keira Knightley) is in the throes of a quarterlife crisis. Squarely into adulthood with no career prospects, no particular motivation to think about her future and no one to relate to, Megan is comfortable lagging a few steps behind - while her friends check off milestones and celebrate their new grown-up status. When her high-school sweetheart (Mark Webber) proposes, Megan panics and- given an unexpected opportunity to escape for a week - hides out in the home of her new friend, 16-year old Annika (Chloe Grace Moretz) and Annika's world-weary single dad Craig (Sam Rockwell). Lynn Shelton, whose unique directorial voice created such astutely observed comedies as YOUR SISTER'S SISTER and HUMPDAY, crafts a sweet, romantic coming-of-age comedy about three people who find their lives intertwined in the most unconventional way as they make through the imperfect realities of modern day life. Keira Knightley shines as Megan, a rare female slacker hero who shows us that while you never stop growing up, you can choose stop lagging, and start living on your terms. (c) A24","http://resizing.flixster.com/7VsuD_sm1I9lVRBQcxsTr0poTY0=/52x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180051_ori.jpg","http://resizing.flixster.com/7VsuD_sm1I9lVRBQcxsTr0poTY0=/52x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180051_ori.jpg","http://resizing.flixster.com/7VsuD_sm1I9lVRBQcxsTr0poTY0=/52x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180051_ori.jpg","http://resizing.flixster.com/7VsuD_sm1I9lVRBQcxsTr0poTY0=/52x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180051_ori.jpg","Keira Knightley","162654560","Megan","2034031","http://api.rottentomatoes.com/api/public/v1.0/movies/771371920.json","http://www.rottentomatoes.com/m/laggies/","http://api.rottentomatoes.com/api/public/v1.0/movies/771371920/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771371920/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771371920/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Chloe Grace Moretz","771410621","Annika","","","","","","","","",""
